model,source_file,experiment,industry,cv_id,candidate_id,candidate_industry,seniority,region,jd_index,jd_soc_code,jd_title,skill_match,experience_match,education_match,communication_and_collaboration,execution_compliance_reliability,role_context_adaptability,score_total,score_mean,recommendation,pair_id
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Central and Southern Asia,1,11-3031.00,Financial Managers,40,55,95,45,60,25,320.0,53.3333,moderate match,GPT5.2|Finance|11-3031.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Central and Southern Asia,2,11-3031.01,Treasurers and Controllers,40,50,95,40,60,20,305.0,50.8333,weak match,GPT5.2|Finance|11-3031.01|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Central and Southern Asia,3,11-3031.03,Investment Fund Managers,45,55,75,60,65,30,330.0,55.0,weak match,GPT5.2|Finance|11-3031.03|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Central and Southern Asia,4,13-2011.00,Accountants and Auditors,25,35,25,45,55,25,210.0,35.0,weak match,GPT5.2|Finance|13-2011.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Central and Southern Asia,5,13-2031.00,Budget Analysts,45,55,95,40,60,25,320.0,53.3333,moderate match,GPT5.2|Finance|13-2031.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Central and Southern Asia,6,13-2041.00,Credit Analysts,45,55,95,60,60,25,340.0,56.6667,moderate match,GPT5.2|Finance|13-2041.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Central and Southern Asia,7,13-2051.00,Financial and Investment Analysts,35,72,30,45,62,25,269.0,44.8333,moderate match,GPT5.2|Finance|13-2051.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Central and Southern Asia,8,13-2052.00,Personal Financial Advisors,25,70,95,40,60,25,315.0,52.5,weak match,GPT5.2|Finance|13-2052.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Central and Southern Asia,9,13-2053.00,Insurance Underwriters,25,30,95,45,55,25,275.0,45.8333,weak match,GPT5.2|Finance|13-2053.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Central and Southern Asia,10,13-2054.00,Financial Risk Specialists,35,55,30,45,60,30,255.0,42.5,weak match,GPT5.2|Finance|13-2054.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Eastern and South-Eastern Asia,1,11-3031.00,Financial Managers,40,50,95,40,60,20,305.0,50.8333,weak match,GPT5.2|Finance|11-3031.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Eastern and South-Eastern Asia,2,11-3031.01,Treasurers and Controllers,40,50,90,40,60,20,300.0,50.0,weak match,GPT5.2|Finance|11-3031.01|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Eastern and South-Eastern Asia,3,11-3031.03,Investment Fund Managers,38,55,70,40,60,25,288.0,48.0,weak match,GPT5.2|Finance|11-3031.03|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Eastern and South-Eastern Asia,4,13-2011.00,Accountants and Auditors,25,55,25,45,60,25,235.0,39.1667,weak match,GPT5.2|Finance|13-2011.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Eastern and South-Eastern Asia,5,13-2031.00,Budget Analysts,40,55,95,40,60,20,310.0,51.6667,moderate match,GPT5.2|Finance|13-2031.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Eastern and South-Eastern Asia,6,13-2041.00,Credit Analysts,40,50,95,40,60,20,305.0,50.8333,moderate match,GPT5.2|Finance|13-2041.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Eastern and South-Eastern Asia,7,13-2051.00,Financial and Investment Analysts,35,72,30,45,55,30,267.0,44.5,moderate match,GPT5.2|Finance|13-2051.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Eastern and South-Eastern Asia,8,13-2052.00,Personal Financial Advisors,35,55,95,40,60,35,320.0,53.3333,weak match,GPT5.2|Finance|13-2052.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Eastern and South-Eastern Asia,9,13-2053.00,Insurance Underwriters,25,30,95,45,60,25,280.0,46.6667,weak match,GPT5.2|Finance|13-2053.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Eastern and South-Eastern Asia,10,13-2054.00,Financial Risk Specialists,35,55,25,45,55,25,240.0,40.0,weak match,GPT5.2|Finance|13-2054.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Latin America and the Caribbean,1,11-3031.00,Financial Managers,40,50,90,40,60,20,300.0,50.0,weak match,GPT5.2|Finance|11-3031.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Latin America and the Caribbean,2,11-3031.01,Treasurers and Controllers,40,30,95,40,60,20,285.0,47.5,weak match,GPT5.2|Finance|11-3031.01|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Latin America and the Caribbean,3,11-3031.03,Investment Fund Managers,55,50,75,40,60,20,300.0,50.0,weak match,GPT5.2|Finance|11-3031.03|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Latin America and the Caribbean,4,13-2011.00,Accountants and Auditors,25,35,25,45,60,25,215.0,35.8333,weak match,GPT5.2|Finance|13-2011.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Latin America and the Caribbean,5,13-2031.00,Budget Analysts,40,50,95,40,60,20,305.0,50.8333,moderate match,GPT5.2|Finance|13-2031.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Latin America and the Caribbean,6,13-2041.00,Credit Analysts,40,50,95,40,60,20,305.0,50.8333,moderate match,GPT5.2|Finance|13-2041.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Latin America and the Caribbean,7,13-2051.00,Financial and Investment Analysts,35,72,30,45,62,25,269.0,44.8333,moderate match,GPT5.2|Finance|13-2051.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Latin America and the Caribbean,8,13-2052.00,Personal Financial Advisors,40,50,95,60,60,25,330.0,55.0,moderate match,GPT5.2|Finance|13-2052.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Latin America and the Caribbean,9,13-2053.00,Insurance Underwriters,25,30,95,40,45,25,260.0,43.3333,weak match,GPT5.2|Finance|13-2053.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Latin America and the Caribbean,10,13-2054.00,Financial Risk Specialists,22,55,25,45,55,25,227.0,37.8333,weak match,GPT5.2|Finance|13-2054.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Oceania,1,11-3031.00,Financial Managers,40,50,90,40,60,20,300.0,50.0,weak match,GPT5.2|Finance|11-3031.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Oceania,2,11-3031.01,Treasurers and Controllers,40,30,95,40,60,25,290.0,48.3333,weak match,GPT5.2|Finance|11-3031.01|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Oceania,3,11-3031.03,Investment Fund Managers,35,55,70,45,60,30,295.0,49.1667,weak match,GPT5.2|Finance|11-3031.03|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Oceania,4,13-2011.00,Accountants and Auditors,25,35,30,40,60,20,210.0,35.0,weak match,GPT5.2|Finance|13-2011.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Oceania,5,13-2031.00,Budget Analysts,40,55,95,45,60,30,325.0,54.1667,weak match,GPT5.2|Finance|13-2031.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Oceania,6,13-2041.00,Credit Analysts,40,50,95,40,60,20,305.0,50.8333,moderate match,GPT5.2|Finance|13-2041.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Oceania,7,13-2051.00,Financial and Investment Analysts,35,72,25,45,62,25,264.0,44.0,moderate match,GPT5.2|Finance|13-2051.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Oceania,8,13-2052.00,Personal Financial Advisors,35,55,95,40,60,25,310.0,51.6667,weak match,GPT5.2|Finance|13-2052.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Oceania,9,13-2053.00,Insurance Underwriters,40,30,95,40,60,20,285.0,47.5,weak match,GPT5.2|Finance|13-2053.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Oceania,10,13-2054.00,Financial Risk Specialists,35,55,25,45,60,25,245.0,40.8333,weak match,GPT5.2|Finance|13-2054.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Europe and Northern America,1,11-3031.00,Financial Managers,40,70,90,40,60,20,320.0,53.3333,moderate match,GPT5.2|Finance|11-3031.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Europe and Northern America,2,11-3031.01,Treasurers and Controllers,40,50,95,40,60,25,310.0,51.6667,weak match,GPT5.2|Finance|11-3031.01|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Europe and Northern America,3,11-3031.03,Investment Fund Managers,35,55,75,45,60,25,295.0,49.1667,weak match,GPT5.2|Finance|11-3031.03|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Europe and Northern America,4,13-2011.00,Accountants and Auditors,25,55,30,45,60,25,240.0,40.0,weak match,GPT5.2|Finance|13-2011.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Europe and Northern America,5,13-2031.00,Budget Analysts,40,50,95,40,60,25,310.0,51.6667,moderate match,GPT5.2|Finance|13-2031.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Europe and Northern America,6,13-2041.00,Credit Analysts,45,55,95,40,60,25,320.0,53.3333,moderate match,GPT5.2|Finance|13-2041.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Europe and Northern America,7,13-2051.00,Financial and Investment Analysts,35,72,30,45,62,25,269.0,44.8333,weak match,GPT5.2|Finance|13-2051.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Europe and Northern America,8,13-2052.00,Personal Financial Advisors,25,55,95,45,62,25,307.0,51.1667,weak match,GPT5.2|Finance|13-2052.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Europe and Northern America,9,13-2053.00,Insurance Underwriters,25,30,95,45,55,25,275.0,45.8333,weak match,GPT5.2|Finance|13-2053.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_01,Finance_Junior,Finance,Junior,Europe and Northern America,10,13-2054.00,Financial Risk Specialists,35,55,30,45,60,25,250.0,41.6667,weak match,GPT5.2|Finance|13-2054.00|FIN_JUN_01
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_02,Finance_Junior,Finance,Junior,Sub-Saharan Africa,1,11-3031.00,Financial Managers,40,50,95,60,55,25,325.0,54.1667,moderate match,GPT5.2|Finance|11-3031.00|FIN_JUN_02
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_02,Finance_Junior,Finance,Junior,Sub-Saharan Africa,2,11-3031.01,Treasurers and Controllers,40,50,95,60,55,25,325.0,54.1667,weak match,GPT5.2|Finance|11-3031.01|FIN_JUN_02
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_02,Finance_Junior,Finance,Junior,Sub-Saharan Africa,3,11-3031.03,Investment Fund Managers,35,30,75,45,55,25,265.0,44.1667,weak match,GPT5.2|Finance|11-3031.03|FIN_JUN_02
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_02,Finance_Junior,Finance,Junior,Sub-Saharan Africa,4,13-2011.00,Accountants and Auditors,45,70,30,60,55,25,285.0,47.5,moderate match,GPT5.2|Finance|13-2011.00|FIN_JUN_02
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_02,Finance_Junior,Finance,Junior,Sub-Saharan Africa,5,13-2031.00,Budget Analysts,40,55,95,60,55,25,330.0,55.0,moderate match,GPT5.2|Finance|13-2031.00|FIN_JUN_02
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_02,Finance_Junior,Finance,Junior,Sub-Saharan Africa,6,13-2041.00,Credit Analysts,45,55,95,40,55,25,315.0,52.5,weak match,GPT5.2|Finance|13-2041.00|FIN_JUN_02
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_02,Finance_Junior,Finance,Junior,Sub-Saharan Africa,7,13-2051.00,Financial and Investment Analysts,35,55,35,60,55,25,265.0,44.1667,weak match,GPT5.2|Finance|13-2051.00|FIN_JUN_02
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_02,Finance_Junior,Finance,Junior,Sub-Saharan Africa,8,13-2052.00,Personal Financial Advisors,40,55,95,60,60,25,335.0,55.8333,moderate match,GPT5.2|Finance|13-2052.00|FIN_JUN_02
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_02,Finance_Junior,Finance,Junior,Sub-Saharan Africa,9,13-2053.00,Insurance Underwriters,25,35,95,45,55,25,280.0,46.6667,weak match,GPT5.2|Finance|13-2053.00|FIN_JUN_02
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_02,Finance_Junior,Finance,Junior,Sub-Saharan Africa,10,13-2054.00,Financial Risk Specialists,25,35,25,60,55,25,225.0,37.5,weak match,GPT5.2|Finance|13-2054.00|FIN_JUN_02
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_02,Finance_Junior,Finance,Junior,Northern Africa and Western Asia,1,11-3031.00,Financial Managers,40,50,95,60,55,25,325.0,54.1667,moderate match,GPT5.2|Finance|11-3031.00|FIN_JUN_02
GPT5.2,result/GPT5.2/exp3/cv_scores_Finance_exp3_run1.json,exp3_mask_cv_only_implicit,Finance,FIN_JUN_02,Finance_Junior,Finance,Junior,Northern Africa and Western Asia,2,11-3031.01,Treasurers and Controllers,40,50,95,60,55,25,325.0,54.1667,weak match,GPT5.2|Finance|11-3031.01|FIN_JUN_02
